ID;IDMARCA;NOME
1;25;INTEGRA
2;25;LEGEND
3;25;NSX
4;27;MARRUA
5;28;145
6;28;147
7;28;155
8;28;156
9;28;164
10;28;166
11;28;2300
12;28;SPIDER
13;156;HUMMER
14;16;AM-825
15;16;HI-TOPIC
16;16;ROCSTA
17;16;TOPIC
18;16;TOWNER
19;32;100
20;32;80
21;32;A1
22;32;A3
23;32;A4 SEDAN
24;32;A5 COUPE
25;32;A6 SEDAN
26;32;A7
27;32;A8
30;32;Q3
31;32;Q5
32;32;Q7
33;32;R8
34;32;RS3
35;32;RS4
36;32;RS5
37;32;RS6
38;32;S3
39;32;S4 SEDAN
40;32;S6 SEDAN
41;32;S8
42;32;TT
43;32;TTS
86;157;BUGGY
87;155;DEVILLE
88;155;ELDORADO
89;155;SEVILLE
90;42;JAVALI
92;6;MINI STAR FAMILY
93;6;MINI STAR UTILITY
95;47;CIELO
96;47;FACE
97;47;QQ
98;47;S-18
99;47;TIGGO
100;19;300C
101;19;CARAVAN
102;19;CIRRUS
103;19;GRAN CARAVAN
104;19;LE BARON
105;19;NEON
106;19;PT CRUISER
107;19;SEBRING
108;19;STRATUS
109;19;TOWN E COUNTRY
110;19;VISION
111;5;AIRCROSS
112;5;AX
113;5;BERLINGO
114;5;BX
115;5;C3
116;5;C4
117;5;C5
118;5;C6
119;5;C8
120;5;DS3
121;5;EVASION
122;5;JUMPER
123;5;XANTIA
124;5;XM
125;5;XSARA
126;5;ZX
127;50;CL-244
128;50;CL-330
129;51;ESPERO
130;51;LANOS
131;51;LEGANZA
132;51;NUBIRA
133;51;PRINCE
134;51;RACER
135;51;SUPER SALON
136;51;TICO
137;52;APPLAUSE
138;52;CHARADE
139;52;CUORE
140;52;FEROZA
141;52;GRAN MOVE
142;52;MOVE VAN
143;52;TERIOS
144;18;AVENGER
145;18;DAKOTA
146;18;JOURNEY
147;18;RAM
148;18;STEALTH
151;61;M-100
152;61;PLUTUS
153;61;START
155;61;ULC
158;63;ENGESA
159;64;CAMPER
160;64;MASTER
161;10;348
162;10;355
163;10;360
164;10;456
165;10;550
166;10;575M
167;10;612
168;10;CALIFORNIA
169;10;F430
170;10;F599
171;3;147
174;3;500
175;3;BRAVA
176;3;BRAVO
178;3;COUPE
179;3;DOBLO
180;3;DUCATO CARGO
181;3;DUNA
182;3;ELBA
183;3;FIORINO
184;3;FREEMONT
185;3;GRAND SIENA
186;3;IDEA
187;3;LINEA
188;3;MAREA
189;3;OGGI
190;3;PALIO
191;3;PANORAMA
192;3;PREMIO
193;3;PUNTO
194;3;SIENA
195;3;STILO
196;3;STRADA
197;3;TEMPRA
198;3;TIPO
199;3;UNO
201;13;AEROSTAR
202;13;ASPIRE
203;13;BELINA
204;13;CLUB WAGON
205;13;CONTOUR
206;13;CORCEL II
207;13;COURIER
208;13;CROWN VICTORIA
209;13;DEL REY
210;13;ECOSPORT
211;13;EDGE
212;13;ESCORT
213;13;EXPEDITION
214;13;EXPLORER
215;13;F-100
216;13;F-1000
217;13;F-150
218;13;F-250
219;13;FIESTA
220;13;FOCUS
221;13;FURGLAINE
222;13;FUSION
223;13;IBIZA
224;13;KA
225;13;MONDEO
226;13;MUSTANG
227;13;PAMPA
228;13;PROBE
229;13;RANGER
230;13;VERSAILLES ROYALE
231;13;TAURUS
232;13;THUNDERBIRD
233;13;TRANSIT
234;13;VERONA
235;13;VERSAILLES
236;13;WINDSTAR
238;1;A-10
239;1;A-20
240;1;AGILE
241;1;ASTRA
242;1;BLAZER
243;1;BONANZA
245;1;C-10
246;1;C-20
247;1;CALIBRA
248;1;CAMARO
249;1;CAPRICE
250;1;CAPTIVA
251;1;CARAVAN
252;1;CAVALIER
253;1;CELTA
255;1;CHEVY
256;1;CHEYNNE
258;1;COBALT
259;1;CORSA
262;1;CORVETTE
263;1;CRUZE
264;1;D-10
265;1;D-20
266;1;IPANEMA
267;1;KADETT
268;1;LUMINA
269;1;MALIBU
271;1;MERIVA
272;1;MONTANA
274;1;OMEGA
275;1;OPALA
276;1;PRISMA
277;1;S10
280;1;SILVERADO
281;1;SONIC
282;1;SONOMA
283;1;SPACEVAN
284;1;SS10
285;1;SUBURBAN
287;1;SYCLONE
288;1;TIGRA
289;1;TRACKER
290;1;TRAFIC
291;1;VECTRA
292;1;VERANEIO
293;1;ZAFIRA
294;75;HOVER
295;17;BR-800
296;17;CARAJAS
297;17;TOCANTINS
298;17;XAVANTE
299;17;VIP
300;76;TOWNER
301;7;ACCORD
302;7;CITY
303;7;CIVIC
304;7;CR-V
305;7;FIT
306;7;ODYSSEY
307;7;PASSPORT
308;7;PRELUDE
309;14;ACCENT
310;14;ATOS
311;14;AZERA
312;14;COUPE
314;14;ELANTRA
315;14;EXCEL
316;14;GALLOPER
317;14;GENESIS
318;14;H1
319;14;H100
321;14;I30
323;14;IX35
324;14;MATRIX
325;14;PORTER
326;14;SANTA FE
327;14;SCOUPE
328;14;SONATA
329;14;TERRACAN
330;14;TRAJET
331;14;TUCSON
332;14;VELOSTER
333;14;VERACRUZ
334;84;AMIGO
335;84;HOMBRE
336;84;RODEO
337;15;J3
338;15;J5
339;15;J6
340;86;DAIMLER
341;86;S-TYPE
342;86;X-TYPE
345;86;MODELOS XJ
352;86;MODELOS XK
354;87;CHEROKEE
355;87;COMMANDER
356;87;COMPASS
357;87;GRAND CHEROKEE
358;87;WRANGLER
359;88;TOPIC VAN
360;89;JIPE MONTEZ
361;89;PICAPE MONTEZ
362;16;BESTA
363;16;BONGO
364;16;CADENZA
365;16;CARENS
366;16;CARNIVAL
367;16;CERATO
368;16;CERES
369;16;CLARUS
370;16;MAGENTIS
371;16;MOHAVE
372;16;OPIRUS
373;16;OPTIMA
374;16;PICANTO
375;16;SEPHIA
376;16;SHUMA
377;16;SORENTO
378;16;SOUL
379;16;SPORTAGE
380;94;LAIKA
381;94;NIVA
382;94;SAMARA
383;12;GALLARDO
384;12;MURCIELAGO
385;96;DEFENDER
386;96;DISCOVERY
389;96;FREELANDER
391;96;NEW RANGE
392;96;RANGE ROVER
393;97;ES
396;97;GS
397;97;IS-300
398;97;LS
400;97;RX
402;97;SC
403;98;320
404;98;620
405;100;H1
406;101;ELAN
407;101;ESPRIT
408;102;SCORPIO
409;104;222
410;104;228
411;104;3200
412;104;430
413;104;COUPE
414;104;GHIBLI
415;104;GRANCABRIO
416;104;GRANSPORT
417;104;GRANTURISMO
418;104;QUATTROPORTE
419;104;SHAMAL
420;104;SPIDER
422;106;PICK-UP
423;108;323
424;108;626
425;108;929
426;108;B-2500
427;108;B2200
428;108;MILLENIA
429;108;MPV
430;108;MX-3
431;108;MX-5
432;108;NAVAJO
433;108;PROTEGE
434;108;RX
467;4;CLASSE A
468;4;CLASSE B
469;4;CLASSE R
498;4;CLASSE GLK
531;4;SPRINTER
532;110;MYSTIQUE
533;110;SABLE
534;112;550
535;112;MG6
536;113;COOPER
537;113;ONE
538;111;3000
539;111;AIRTREK
540;111;ASX
541;111;COLT
542;111;DIAMANT
543;111;ECLIPSE
544;111;EXPO
545;111;GALANT
546;111;GRANDIS
547;111;L200
548;111;L300
549;111;LANCER
550;111;MIRAGE
551;111;MONTERO
552;111;OUTLANDER
553;111;PAJERO
554;111;SPACE WAGON
555;114;BG-TRUCK
556;43;350Z
557;43;ALTIMA
558;43;AX
559;43;D-21
560;43;FRONTIER
562;43;KING-CAB
563;43;LIVINA
564;43;MARCH
565;43;MAXIMA
567;43;MURANO
568;43;NX
569;43;PATHFINDER
571;43;PRIMERA
572;43;QUEST
573;43;SENTRA
574;43;STANZA
575;43;180SX
576;43;TERRANO
577;43;TIIDA
578;43;VERSA
579;43;X-TRAIL
580;43;XTERRA
581;43;ZX
582;22;106
583;22;205
584;22;206
585;22;207
586;22;3008
587;22;306
588;22;307
589;22;308
590;22;405
591;22;406
592;22;407
593;22;408
594;22;504
595;22;505
596;22;508
597;22;605
598;22;607
599;22;806
600;22;807
601;22;BOXER
602;22;HOGGAR
603;22;PARTNER
604;22;RCZ
605;123;GRAN VOYAGER
606;123;SUNDANCE
607;69;TRANS-AM
608;69;TRANS-SPORT
609;70;911
612;70;BOXSTER
613;70;CAYENNE
614;70;CAYMAN
615;70;PANAMERA
617;24;21 SEDAN
618;24;CLIO
619;24;DUSTER
620;24;EXPRESS
621;24;FLUENCE
622;24;KANGOO
623;24;LAGUNA
624;24;LOGAN
625;24;MASTER
626;24;MEGANE
627;24;SAFRANE
628;24;SANDERO
629;24;SCENIC
630;24;SYMBOL
631;24;TRAFIC
632;24;TWINGO
634;137;9000
635;162;SL-2
636;130;CORDOBA
637;130;IBIZA
638;130;INCA
641;142;FORTWO
642;21;ACTYON SPORTS
643;21;CHAIRMAN
644;21;ISTANA
645;21;KORANDO
646;21;KYRON
647;21;MUSSO
648;21;REXTON
649;8;FORESTER
650;8;IMPREZA
651;8;LEGACY
652;8;OUTBACK
653;8;SVX
654;8;TRIBECA
655;8;VIVIO
656;59;BALENO
657;59;GRAND VITARA
658;59;IGNIS
660;59;JIMNY
662;59;SUPER CARRY
663;59;SWIFT
664;59;SX4
665;59;VITARA
666;59;WAGON R
667;146;STARK
668;23;AVALON
669;23;BANDEIRANTE
670;23;CAMRY
671;23;CELICA
672;23;COROLLA
673;23;CORONA
674;23;HILUX
675;23;LAND CRUISER
676;23;MR-2
677;23;PASEO
678;23;PREVIA
679;23;RAV4
680;23;SUPRA
682;149;PANTANAL
684;149;T-4
685;53;400 SERIES
687;53;850
688;53;900 SERIES
700;2;AMAROK
701;2;APOLLO
702;2;BORA
703;2;CARAVELLE
704;2;CORRADO
706;2;EOS
707;2;EUROVAN
708;2;FOX
709;2;FUSCA
710;2;GOL
711;2;GOLF
