ID;IDMARCA;NOME
320;14;HR
734;4;1113
735;4;1214
736;4;1318
738;4;1519
739;4;1614
740;4;1620
746;27;7000D
748;4;709
749;4;710
750;4;912
753;4;2000
1452;164;TRAILER
1453;13;F-12000
1461;2;MASCARELLO
1462;2;GRANMICRO
1482;263;ONIBUS
1483;266;GUINDASTE
1511;266;EMPILHADEIRA
1519;242;112
1521;27;10000
1522;27;13000
1523;27;14000
1524;27;1600
1525;27;1800
1526;27;4500
1527;27;5000
1528;27;6000
1529;27;7000
1530;27;7500
1531;27;8000
1532;27;8500
1533;27;8700
1534;27;9200
1536;1;D-12000
1537;1;D-13000
1538;1;D-14000
1539;1;19000
1540;1;21000
1541;1;22000
1542;1;D-6000
1543;1;C-60
1544;1;D-40
1545;1;D-60
1546;1;D-70
1549;61;JBC
1550;61;N601
1551;61;N900
1552;3;190
1626;13;CARGO
1627;13;F-11000
1629;13;F-13000
1630;13;F-14000
1631;13;F-16000
1632;13;F-19000
1633;13;F-2000
1634;13;F-21000
1635;13;F-22000
1636;13;F-350
1637;13;F-4
1638;13;F-4000
1639;13;F-7000
1640;13;F-MAXX
1641;1;12-170
1642;1;14-190
1643;1;15-190
1644;1;16-220
1645;1;3500
1646;1;5-90
1647;1;6-100
1648;1;6-150
1649;1;7-110
1650;14;HD78
1651;85;CITYCLASS
1652;85;CURSOR
1653;85;DAILY
1661;85;EUROCARGO
1664;85;EUROTECH
1665;85;EUROTRAKKER
1666;85;POWERSTAR
1667;85;STRALIS
1670;85;TECTOR
1671;85;TRAKKER
1672;85;VERTIS
1673;274;TGX
1679;4;1114
1681;4;1215
1682;4;1218
1684;4;1414
1686;4;1420
1687;4;1714
1689;4;1720
1690;4;1721
1691;4;1723
1693;4;1938
1694;4;1944-S
1695;4;2038
1696;4;2418
1697;4;2423
1699;4;2638
1700;4;2726
1701;4;608
1702;4;708
1705;4;712
1707;4;914
1709;4;ACCELO
1710;4;ACTROS
1711;4;ATEGO
1712;4;ATILIS
1713;4;ATRON
1714;4;AXOR
1717;4;L-1117
1718;4;L-1118
1721;4;L-1313
1722;4;L-1314
1724;4;L-1317
1726;4;L-1319
1730;4;L-1514
1732;4;L-1517
1735;4;1520
1744;4;L-2014
1745;4;L-2017
1746;4;L-2213
1747;4;L-2214
1748;4;L-2215
1749;4;L-2216
1750;4;L-2217
1752;4;L-2220
1753;4;L-2225
1754;4;L-2314
1755;4;L-2318
1756;4;L-2325
1757;4;2635
1771;4;LS-1632
1780;4;LS-1941
1783;275;DURASTAR
1784;275;INTERNATIONAL
1792;124;7900
1793;124;9000
1794;124;914
1795;137;R-112
1796;137;R-142
1797;137;T-112
1798;137;T-142
1800;242;380
1801;242;400
1802;242;420
1803;242;440
1804;242;470
1805;242;480
1806;242;111
1807;242;141
1808;242;114
1810;242;230
1811;242;P-250
1812;242;P-270
1813;242;P-310
1814;242;P-340
1817;242;93
1818;242;94
1822;242;143
1823;242;164
1830;242;R-500
1831;242;R-560
1832;242;R-580
1833;242;R-620
1839;277;HOWO
1840;2;11-130
1841;2;11-140
1842;2;12-170
1843;2;12-180
1844;2;13-130
1845;2;13-150
1846;2;13-170
1849;2;14-140
1850;2;14-150
1851;2;14-170
1852;2;14-180
1853;2;14-200
1854;2;14-210
1855;2;14-220
1856;2;15-170
1859;2;16-170
1860;2;16-200
1861;2;16-210
1862;2;16-220
1863;2;16-300
1864;2;17-180
1866;2;17-210
1867;2;17-220
1869;2;17-280
1870;2;17-300
1871;2;17-310
1873;2;17-330
1874;2;18-310
1876;2;19-330
1878;2;19-390
1879;2;22-140
1880;2;22-160
1881;2;22-210
1882;2;23-210
1883;2;23-220
1884;2;23-250
1885;2;23-310
1886;2;24-220
1888;2;24-280
1890;2;24-330
1893;2;25-390
1894;2;26-220
1896;2;26-280
1897;2;26-300
1898;2;26-310
1900;2;26-390
1902;2;31-280
1903;2;31-310
1905;2;31-330
1907;2;31-390
1908;2;35-300
1909;2;40-300
1912;2;6-80
1913;2;6-90
1914;2;7-100
1915;2;7-110
1916;2;7-90
1917;2;8-100
1918;2;8-120
1919;2;8-140
1924;2;L-80
1925;53;FH SERIES
1926;53;FH GLOBETROTTER SERIES
1938;53;FM SERIES
1944;53;FMX SERIES
1951;53;N SERIES
1953;53;NH SERIES
1954;53;NL SERIES
1956;53;VM SERIES
1994;2;11-160
1995;2;12-140
1996;2;17-230
1997;2;24-230
1998;2;28-440
1999;2;29-440
2000;2;31-440
2001;2;33-440
2002;2;16-180
2003;2;17-240
2004;2;17-260
2005;2;18-320
2006;2;18-330
2007;2;15-210
2016;4;1516
2018;4;1935
2019;4;2555
2020;4;0-400
2021;284;BI-TREM
2022;285;BITREM
2023;4;1513
2024;1;D-1200
2025;13;F-3500
2026;13;F-600
2027;4;2219
2028;4;1313
2029;85;35-10
2033;1;MARTA-ROCHA
2038;4;1929
2042;242;124
2051;4;1618
2052;4;1934
2053;4;1924
2054;4;1634
2060;13;F-400
2062;270;MOTOR-HOME
2064;292;PA CARREGADEIRA
2085;263;MICRO-ONIBUS
2225;242;113
2255;4;1525
2256;4;2621
2297;3;210
2354;242;110
2355;242;LK-140
2357;242;L-80
2358;242;B-110
2359;242;BR-115
2362;242;B-111
2363;242;BR-116
2364;242;81
2365;242;82
2366;242;92
2367;242;142
2370;242;144
2372;242;L-71
2373;242;L-75
2374;242;L-76
2375;242;P-330
2465;13;F-750
2466;4;1625
2478;4;2013
2483;4;312
2488;85;80S
2490;13;F-6
2497;242;490
2504;68;180
2506;4;1622
2507;4;1524
2512;4;1630
2513;4;1932
2531;4;1316
2535;242;133
2538;1;MATRA
2539;4;1111
2549;1;COE
2550;13;COE
2551;3;130
2552;13;F-8
2577;2;CONSTELLATION
2578;2;DELIVERY
2579;2;WORKER
2601;4;321
2602;4;1317
2603;3;180
2712;266;ESCAVADEIRA
2713;266;MUNCK
2714;266;GUINCHO
2715;266;CARREGADEIRA
2723;266;MOTONIVELADORA
2724;4;2213
2889;266;TANQUE
2892;266;POLIGUINDASTE
2893;4;1621
2894;13;F-8000
2897;274;24250
2898;4;1632
2900;266;PERFURATRIZ
2919;4;180
2920;4;1517
2929;1;C-65
2930;1;D-11000
2964;1;D-65
2971;53;FL SERIES
