ID;IDMARCA;NOME
754;7;BIZ
761;7;CB 300R
763;7;CB 400
764;7;CB 500
765;7;CB 600 HORNET
766;7;CBR 1000F
767;7;FIREBLADE CBR
768;7;CBR 450
769;7;CBR 600
771;7;TWISTER CBX 250
772;7;CBX 750F
773;7;CG FAN
774;7;CG TITAN
777;135;CRYPTON T115
778;133;CRZ
779;59;V-STROM DL
780;135;DT 200
781;27;ELEFANTRE
783;140;FUTURE
785;136;GR 500
786;136;GRI 50
787;59;GSX
788;59;GSX-R GIXXER/SRAD
791;135;FAZER YS250
792;135;FACTOR YBR125
796;135;YZF R1
800;135;VIRAGO 250
833;27;CITY
834;27;DAKAR
835;27;ELEFANT
836;27;FORCE
837;27;JUNIOR
838;27;SST
839;27;SUPER CITY
840;27;SXT
841;27;TCHAU
842;177;AME-110
843;177;AME-150
844;177;AME-250
845;177;AME-LX
846;178;AREA-51
847;178;CLASSIC
848;178;LEONARDO
849;178;MOTO
850;178;PEGASO
851;178;RALLY
852;178;RS
853;178;RSV MILLE
854;178;RX
855;178;SCARABEO
858;178;SONIC
859;178;SR RACING
860;178;SR WWW
861;179;CALIFFONE
862;179;MASTER
863;179;SKEGIA
864;180;CHAMPION
865;180;CLASSIC
866;181;TNT
869;181;TRE
870;182;MX-50
872;183;DB4
873;183;DB5R
874;183;DB6
875;183;DB6R
876;183;DB7
877;183;MANTRA
878;183;SBR8
879;183;TESI
882;36;G650GS
891;36;S1000RR
892;184;ELEGANT
893;184;FOSTI
894;184;PISTA
895;184;TURBO
896;184;ZANELLA
897;185;YB
898;186;CAN-AM
900;187;1125
902;187;FIREBOLT
904;187;LIGHTNING
905;187;ULYSSES
906;188;JBR
908;190;CANYON
909;190;ELEFANT
910;190;GRAN CANYON
911;190;MITO
912;190;NAVIGATOR
913;190;PLANET
914;190;ROADSTER
915;190;V-RAPTOR
916;190;W-16
917;191;MOBILETE
919;192;ALTINO
920;192;MESSAGE
921;192;VC
922;192;VF
923;192;VS
924;192;VT
925;192;VX
926;193;APACHE
927;193;CITYCOM
928;193;KANSAS
929;193;LASER
930;193;NEXT
931;193;RIVA
932;193;ROADWIN
933;193;SMART
934;193;SPEED
935;193;SUPER
936;193;ZIG
937;194;DY100-31
938;194;DY110-20
939;194;DY125-18
940;194;DY125-36A
941;194;DY125-37
942;194;DY125-5
943;194;DY125-52
944;194;DY150-12
945;194;DY200
946;195;SUMMER
947;195;DY125-8
948;195;SPACE
949;195;PHANTON
950;195;CITY
951;195;DY150GY
952;195;CARGO 150
953;195;CARGO 200
954;195;DY250-2
955;196;ATLANTIS
956;196;GPR
957;196;PREDATOR
958;196;RED BULLET
959;196;REPLICAS
960;196;SENDA
961;197;1098
962;197;1198
963;197;749
964;197;848
965;197;996
966;197;998
967;197;999
968;197;999R
969;197;DESMOSEDICI
970;197;DIAVEL
971;197;HYPERMOTARD
972;197;MONSTER
973;197;MULTISTRADA
974;197;SPORTCLASSIC
975;197;SS
976;197;ST-2
977;197;ST-4
978;197;STREETFIGHTER
979;198;MIRAGE
980;198;ONE
981;198;ONE RACING
984;200;FY100-10A
985;200;FY125-19
986;200;FY125-20
987;200;FY125EY-2
988;200;FY125Y-3
989;200;FY150-3
990;200;FY150T-18
991;200;FY250
992;136;GR08T4
993;136;GR 125S/ST
995;136;GR125T3
996;136;GR125U
997;136;GR 125Z
998;136;GR 150P/PI
1000;136;GR150ST
1001;136;GR150T3
1002;136;GR150TI
1003;136;GR150U
1004;136;GR250T3
1005;201;ENDUCROSS
1006;201;ROOKIE ENDURO
1007;201;BOY
1008;201;MC
1009;201;PAMPERA
1010;201;TX BOY
