ID;IDMARCA;NOME
2222;170;ZXI 1100
3034;351;25
3035;351;STAR 140
3036;351;20
3037;351;ALFA 300
3038;351;36
3039;351;39
3040;351;45
3041;351;55
3042;352;V410 PREMIUM
3043;352;V350 PREMIUM
3044;352;V330 PREMIUM
3045;352;V265 COMFORT
3046;352;V250 COMFORT
3047;352;V230 GII COMFORT
3048;352;V215 COMFORT
3049;352;V210 COMFORT
3050;352;V195 COMFORT
3051;352;V180 COMFORT
3052;352;V160 COMFORT
3053;352;V175 COMFORT
3055;354;FOCKER 160
3056;354;FOCKER 19
3057;354;FOCKER 205
3058;354;FOCKER 215
3059;354;FOCKER 230
3060;354;FOCKER 240
3061;354;FOCKER 255
3062;354;FOCKER 265
3063;354;FOCKER 265 OPEN
3064;354;FOCKER 275
3065;354;FOCKER 275SS
3066;354;FOCKER 280 GT
3067;354;FOCKER 320 GT
3068;355;800
3069;355;PHANTOM 620 PININFARINA
3070;355;PHANTOM 620
3071;355;PHANTOM 500 FLY
3072;355;PHANTOM 500 HT
3073;355;PHANTOM 385
3074;355;PHANTOM 400
3075;355;PHANTOM 365
3076;355;PHANTOM 300
3077;355;PHANTOM 260
3084;356;550
3085;356;460
3086;356;340
3087;356;50
3088;356;41
3089;356;33
3090;356;30
3091;356;28
3093;357;GTX 155
3094;357;GTX IS 215
3095;357;GTX LIMITED IS 260
3096;357;RXP 215
3097;357;RXP-X 255 RS
3098;357;RXT 215
3099;357;RXT-X 260 RS
3100;357;RXT IS 260
3101;357;GTI SE 130
3102;357;GTI SE 155
3103;357;WAKE 155
3104;357;WAKE PRO 215
3105;357;150 SPEEDSTER
3106;357;200 SPEEDSTER
3107;357;180 CHALLENGER SE
3108;357;210 CHALLENGER SE
3109;357;230 CHALLENGER SP
3110;357;230 CHALLENGER SE
3111;357;210 WAKE
3112;357;230 WAKE
3148;170;ULTRA 300LX
3149;170;ULTRA 300X
3150;170;ULTRA LX
3154;135;VX 700
3155;135;SJ 700
3156;135;FX CRUISER SHO
3157;135;FX CRUISER HO
3158;135;FZS
3160;135;VXR
3161;135;VX CRUISER
3162;135;VX SPORT
3163;135;MOTOR DE BARCO
3164;353;MOTOR DE BARCO
3200;359;MOTOR DE BARCO
3211;360;42
3212;360;53
3213;360;55
3214;360;60
3215;360;65
3216;360;75
3217;360;85
3218;361;190
3219;361;215
3220;361;240
3221;361;260A
3222;361;260C
3223;361;278A
3224;361;278C
3225;361;310
3226;361;323
3227;361;M7
3228;362;43
3229;362;45
3230;362;48
3231;362;54
3232;362;60
3233;362;64
3234;362;70
3235;362;80
3236;362;84
3237;362;88
3238;362;95
3239;362;100 LEONARDO
3240;362;40S
3241;362;55S
3242;362;62S ITALIA
